web-scraper-order,web-scraper-start-url,product_name,price,product_discount
"1705465253-1","https://www.klikindomaret.com/category/Makanan-Instan","Samyang Buldak Ramen Mala 135G","Rp 9.900","60%
Rp 24.700"
"1705465253-2","https://www.klikindomaret.com/category/Makanan-Instan","Lemonilo Mie Instant Rendang 77G","Rp 3.500","49%
Rp 6.800"
"1705465253-3","https://www.klikindomaret.com/category/Makanan-Instan","Kobe Mie Goreng Boncabe Level 15 105G","Rp 3.500","36%
Rp 5.500"
"1705465253-4","https://www.klikindomaret.com/category/Makanan-Instan","Kobe Mie Instant Boncabe Level 30 Ramen Pedas 90G","Rp 3.500","36%
Rp 5.500"
"1705465253-5","https://www.klikindomaret.com/category/Makanan-Instan","Gaga Mie Goreng 100 Extra Pedas Jalapeno 75G","Rp 4.100","29%
Rp 5.800"
"1705465253-6","https://www.klikindomaret.com/category/Makanan-Instan","Gaga Mie Instant 100 Extra Pedas Kuah Jalapeno 75G","Rp 4.100","29%
Rp 5.800"
"1705465253-7","https://www.klikindomaret.com/category/Makanan-Instan","Mujigae Jajangmyeon 265G","Rp 16.500","23%
Rp 21.500"
"1705465253-8","https://www.klikindomaret.com/category/Makanan-Instan","Nong Shim Instant Noodle Shin Ramyun Stir Fry 131G","Rp 18.500","21%
Rp 23.500"
"1705465253-9","https://www.klikindomaret.com/category/Makanan-Instan","Nong Shim Instant Fried Noodle Beef Bulgogi 105G","Rp 11.900","20%
Rp 14.900"
"1705465253-10","https://www.klikindomaret.com/category/Makanan-Instan","Nong Shim Instant Fried Noodle Seafood Bulgogi 105g","Rp 11.900","20%
Rp 14.900"
"1705465253-11","https://www.klikindomaret.com/category/Makanan-Instan","La Fonte Spaghetti Instant Saus Bolognese 117G","Rp 6.000","20%
Rp 7.500"
"1705465253-12","https://www.klikindomaret.com/category/Makanan-Instan","Samyang Ramen Spicy 120G","Rp 14.900","19%
Rp 18.500"
"1705465253-13","https://www.klikindomaret.com/category/Makanan-Instan","Arirang Mie Instant Goreng Ayam 130g","Rp 12.500","19%
Rp 15.500"
"1705465253-14","https://www.klikindomaret.com/category/Makanan-Instan","Arirang Mie Instant Goreng Pedas 130g","Rp 12.500","19%
Rp 15.500"
"1705465253-15","https://www.klikindomaret.com/category/Makanan-Instan","Arirang Mie Instant Kuah Sum Sum 110G","Rp 12.500","19%
Rp 15.500"
"1705465253-16","https://www.klikindomaret.com/category/Makanan-Instan","Delmonte Spaghetti Sauce 250G","Rp 8.900","18%
Rp 10.800"
"1705465253-17","https://www.klikindomaret.com/category/Makanan-Instan","Super Bubur Instant Bergizi Abon Sapi 49G","Rp 2.900","17%
Rp 3.500"
"1705465253-18","https://www.klikindomaret.com/category/Makanan-Instan","Super Bubur Instant Bergizi Ayam 45G","Rp 2.900","17%
Rp 3.500"
"1705465253-19","https://www.klikindomaret.com/category/Makanan-Instan","La Fonte Makaroni Pazto Instant Keju 63G","Rp 5.000","17%
Rp 6.000"
"1705465253-20","https://www.klikindomaret.com/category/Makanan-Instan","La Fonte Spaghetti (11) 450G","Rp 15.500","16%
Rp 18.500"
